主体,关系,客体
82年生的金智英(书籍),引发情感,喜好
82年生的金智英(书籍),引发情感,恐惧
82年生的金智英(书籍),引发情感,悲伤
82年生的金智英(书籍),引发情感,烦闷
82年生的金智英(书籍),引发情感,相信
82年生的金智英(书籍),引发情感,贬责
82年生的金智英(书籍),引发情感,赞扬
A Short History of Trans Misogyny(书籍),引发情感,喜好
A Short History of Trans Misogyny(书籍),引发情感,贬责
A Short History of Trans Misogyny(书籍),引发情感,赞扬
Ace(书籍),引发情感,相信
Ace(书籍),引发情感,贬责
Ace(书籍),引发情感,赞扬
Beauty and Misogyny(书籍),引发情感,安心
Beauty and Misogyny(书籍),引发情感,怀疑
Beauty and Misogyny(书籍),引发情感,恐惧
Beauty and Misogyny(书籍),引发情感,赞扬
Bitch(书籍),引发情感,贬责
Bitch(书籍),引发情感,赞扬
Bloodchild and Other Stories(书籍),引发情感,贬责
Bloodchild and Other Stories(书籍),引发情感,赞扬
Brotopia(书籍),引发情感,怀疑
Brotopia(书籍),引发情感,恐惧
Brotopia(书籍),引发情感,悲伤
Desiring China(书籍),引发情感,尊敬
Desiring China(书籍),引发情感,赞扬
"Detransition, Baby(书籍)",引发情感,尊敬
"Detransition, Baby(书籍)",引发情感,悲伤
"Detransition, Baby(书籍)",引发情感,贬责
"Detransition, Baby(书籍)",引发情感,赞扬
"Dude, You're a Fag(书籍)",引发情感,喜爱
"Dude, You're a Fag(书籍)",引发情感,悲伤
"Dude, You're a Fag(书籍)",引发情感,赞扬
Feminism(书籍),引发情感,赞扬
Finding Women in the State(书籍),引发情感,烦闷
Finding Women in the State(书籍),引发情感,贬责
Finding Women in the State(书籍),引发情感,赞扬
Half the Sky(书籍),引发情感,尊敬
Half the Sky(书籍),引发情感,烦闷
Half the Sky(书籍),引发情感,贬责
Half the Sky(书籍),引发情感,赞扬
Living a Feminist Life(书籍),引发情感,恐惧
Living a Feminist Life(书籍),引发情感,烦闷
Living a Feminist Life(书籍),引发情感,贬责
Living a Feminist Life(书籍),引发情感,赞扬
Men Explain Things To Me(书籍),引发情感,喜好
Men Explain Things To Me(书籍),引发情感,尊敬
Men Explain Things To Me(书籍),引发情感,相信
Men Explain Things To Me(书籍),引发情感,赞扬
"Men, Women, and Chain Saws(书籍)",引发情感,贬责
N号房追踪记(书籍),引发情感,尊敬
N号房追踪记(书籍),引发情感,恐惧
N号房追踪记(书籍),引发情感,贬责
N号房追踪记(书籍),引发情感,赞扬
Sister Outsider(书籍),引发情感,悲伤
