作品类型,作品名,评论内容,主题列表,主题,情感代码,情感
书籍,大众文化的女性主义指南,刚刚开始看内心暗暗吐槽，不会吧，又是噱头？结果越看越上头，一口气看完，真的可以称之为“指南”!感觉在看一部女性主义思考领域的上乘短剧，搭配闺蜜毒舌吐槽，快节奏，爽，直接，厌女症结给得很彻底，我最开始的傲慢思维也被击碎，重新落实了一番。是适合当代快节奏领域大家认识文化中厌女现象的不二之选，感觉自己在做一套厌女的体检与考卷，信息接收，比对，自我检验，从基本知识点考察我对于网络现象、大众文化中厌女的敏感度，新的符号化名词解读，然后进行小组讨论，更多的素材案例分析，专家解读。（笑）查漏补缺的过程好有趣，一种考试基因莫名奇妙被触发了。老师们啊，我喜欢你们的直接和毒舌!orz。,"['性别平等与权利', '性别歧视与刻板印象', '女性觉醒与独立', '性与性暴力']",性别平等与权利;性别歧视与刻板印象;女性觉醒与独立;性与性暴力,PH,赞扬
书籍,大众文化的女性主义指南,读这本书的时候我总会想起浪姐。记得当初浪姐还没开始的时候就有男艺人抱怨为啥没有哥哥的节目，真是可恶极了，好不容易有一个纯女性的综艺，男人就受不了了？结果没多久，哥哥就出来了。我一直很奇怪的是，相比之下，浪姐里面的姐姐就只能唱跳，而哥哥又可以创作又可以自由选择，看起来似乎他们更有才华，难道就没有女性唱作人吗？再仔细看，就连姐姐们住的屋子也没有哥哥的大，姐姐一直苦逼练舞，哥哥们又可以搞派对，又可以玩乐队还可以打游戏，在里面那叫一个悠哉。看起来他们更松弛，更团结，可能性更多。而这一切，都是节目组精心打造的。,"['性别平等与权利', '性与性暴力']",性别平等与权利;性与性暴力,PH,赞扬
书籍,大众文化的女性主义指南,韩女们已经开始指出韩综的“全男”问题了，作为“复制”了人家不少点子的内娱，要不要也来检讨一下？看了这本书才知道，原来和歧视性的“妈虫”对应，居然有个褒奖性的称呼叫“拿铁爸爸”（一手推婴儿车一手端咖啡的所谓“帅气奶爸”），韩男真会给自己脸上贴金啊！别谈什么东亚三国手拉手了，先团结起来守护这些勇于表达的韩女吧！结合现实生活，如果我买不到全女脱口秀专场，我也希望尽量消费男女比例均衡的拼盘。我们想创造“女人的笑声就是要穿墙透壁”的世界，一个可坦然做“花蛇”（坏女人）的世界，一个不再需要“热情劳动”乃至“死亡劳动”的世界。强烈推荐“女革命家与女工文学”这一章，触及的深度令人眼前一亮。如果有朋友想问，中文世界是否有类似用女性主义视角探讨大众文化的播客，我将再次推荐粒粒的“Womansplaining”！,"['性别平等与权利', '女性觉醒与独立', '性与性暴力']",性别平等与权利;女性觉醒与独立;性与性暴力,PH,赞扬
书籍,大众文化的女性主义指南,几乎是一本答案之书，很多韩国的讨论可以100%对应到中国的新闻和文化生活中。比如一针见血指出已婚女性在综艺中如果与男性同事亲密相处，会被恶评；《创造101》的一年合约实际也是一种灵活用工经济的压榨；色情业女性没有身体拘禁，但被各种医美债务隐形剥削；游戏业是韩国最赚钱也最厌女的文化行业。等等等等。总有一种读得恍然大悟的感觉，播客对话形式又比常规文化评论读起来更轻松。,"['性与性暴力', '性别歧视与刻板印象']",性与性暴力;性别歧视与刻板印象,PA,喜好
书籍,大众文化的女性主义指南,有新意，这本是完全从具体的韩国综艺、韩剧、电影出发，来讲韩国的性别问题。因为对谈的嘉宾都达成共识：综艺就是最体现大众文化的，社会的缩影都在里面。以男性为压倒性数量的韩综，能混进来的女性艺人少之又少。还有女团的强烈剥削性，苛刻到畸形的身材管理。最后也讲到了互联网，也是韩国性别问题的战场，嘉宾说互联网并没有催生厌女，它只是反应了本来就在的厌女。可能因为是播客对谈的文字整理，感觉韩国女性主义的活动者是中日韩里面说话最犀利的。,"['性别平等与权利', '身体自主与容貌', '性别歧视与刻板印象', '女性觉醒与独立', '性与性暴力']",性别平等与权利;身体自主与容貌;性别歧视与刻板印象;女性觉醒与独立;性与性暴力,PH,赞扬
书籍,大众文化的女性主义指南,用女性主义的视角和理论从韩男综艺、KPOP女团、影视作品一路炮轰到色情产业，确实担得起大众文化的女性主义指南这个标题。我曾经也喜欢看极限挑战和爸爸去哪儿，喜欢朴赞郁的电影，容易被“女儿奴”“搞笑男”的表面迷惑，享受着影视综艺带来的娱乐，忽视或者不愿思考这些大热文化背后被隐藏、歪曲、剔除甚至攻击的女性。厌女现象并不是刻意回避就可以假装不存在，对不合理的社会常态我们应该保持质疑并大胆发声，改变就会发生。（除了书籍本来的注释，本书还加入了大量且详尽的编者注，解释由于文化差异可能造成理解困难的事件背景和流行语，在我心里大大大加分）,"['性别平等与权利', '性别歧视与刻板印象', '女性觉醒与独立', '性与性暴力']",性别平等与权利;性别歧视与刻板印象;女性觉醒与独立;性与性暴力,NN,贬责
书籍,大众文化的女性主义指南,在男性泛滥的世界，更需要听到女性的声音，尤其是东亚国家，女性的生存处境更加的艰难和残酷。对韩国的女性主义发展的认识，韩国女性在实践上远大于理论上的抗争，从生育率倒数第一的数据，到韩国女性各种与韩国男性决裂的态度，再到女性友谊、girls help girls中的N号房事件、对deep fake的抗议反对等等，让我们看到了韩国女性们彼此的连接与同一阵营的勇敢抗争，越来越多的女性从暗影中显现，书写自己的故事，书写女性的历史。所谓“大众文化的女性主义”是更加聚焦到关系每个人的文化现象，尤其是需要加入一种性别的视角去看待，女性主义就是提供了这样一种思考社会病症的新视角，或许有人会诟病这种唯·女性视角的介入方式，但受限于这样一种性别环境（父权制文化的无孔不入），所以这种女性视角是必要且有力的精神武器。,"['性别平等与权利', '婚育与母职', '女性觉醒与独立', '女性情谊与叙事', '父权与男性凝视', '性与性暴力']",性别平等与权利;婚育与母职;女性觉醒与独立;女性情谊与叙事;父权与男性凝视;性与性暴力,NN,贬责
书籍,大众文化的女性主义指南,东亚三国女性的境况极其相似，因此这本书里谈到的韩国大众文化问题，例如综艺/电影中女性的缺失，女明星/女爱豆艰难的生存环境，以及互联网/游戏中大量存在的性化女性和厌女倾向，其实在我们这里几乎可以完全一一对应。由于文本是由播客转录而来，一则内容较浅，二则在我看来有些松散，不够抓人，可能用播客这种可以察觉语气的“听”的方式呈现还是会更好。p.s. 读完知道了朴赞郁的《小姐》居然是改编自《Fingersmith》还是惊了一下，这两个作品我都看过，但完全联想不到一块去。,"['性与性暴力', '性别歧视与刻板印象']",性与性暴力;性别歧视与刻板印象,NN,贬责
书籍,大众文化的女性主义指南,这是基于一档播客而产生的一本女权主义书籍，本播客爱好者狠狠心动了。书中提到的“但所谓大众文化，就是大众很容易接触到的文化啊。文化之所以可怕，正因为它强烈地、润物无声地影响着我们的精神和思考方式，因此，我认为不批判性地看待是不行的。电视拥有权力，大众媒体拥有权力。”这句话，解开了我最近半年的困惑，网络和电视中难以看见让我们女性身心舒畅的女性角色，就连《热辣滚烫》、《出走的决心》如此温和的电影都被批判和恶意打低分，最近的《山花烂漫时》更是引来一星恶评。荧幕上的女性形象越丰富，现实中的女性才会越自由！正如这本书所说的，“更多的声音”永远是通向全新世界的路径。我们需要更多的声音！,"['性别平等与权利', '女性觉醒与独立', '性与性暴力']",性别平等与权利;女性觉醒与独立;性与性暴力,PH,赞扬
书籍,大众文化的女性主义指南,看这本书的时候一直在反思，重新审视爱豆、综艺和电影这些我以为很了解但其实一直被局限的视界里。在这本书之后的时间里发生了很多事，朴赞郁拍了《分手的决心》、全女综艺《Biong Biong地球游戏厅》大火、Newjeans和闵熙珍与Hybe解约，这些又是怎样代表女权意识的进步，又怎样映射了韩国依旧被男性主导的娱乐圈的反省和压迫的，都想还继续听听她们怎么说。,"['性别平等与权利', '女性觉醒与独立', '性与性暴力']",性别平等与权利;女性觉醒与独立;性与性暴力,PK,恐惧
